ID,Wentworth,Desvio Padrão,Dm,Desv Pad,Assimetria,Curtose,Areia,Silte,Argila,Matéria Orgânica,Carbonato
P01-B,Areia Grossa,Bem Selecionado,0.6,0.48,0.09,1.02,100.0,0.0,0.0,0.0,1.1
P01-ESP,Areia Grossa,Bem Selecionado,0.4,0.43,-0.09,0.89,100.0,0.0,0.0,0.2,0.9
P01-PP,Areia Média,Moderadamente Bem Selecionado,1.1,0.56,-0.04,0.95,100.0,0.0,0.0,0.5,1.0
P01-ZS,Areia Muito Grossa,Muito Bem Selecionado,-0.1,0.33,0.20,1.08,100.0,0.0,0.0,0.0,1.5
P01-PF,Silte Grosso,Pobremente Selecionado,4.9,1.91,0.58,1.13,49.5,39.2,11.3,0.1,3.2
P02-B,Areia Média,Moderadamente Bem Selecionado,1.0,0.66,-0.15,1.05,100.0,0.0,0.0,0.0,1.3
P02-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.6,0.53,-0.07,1.08,100.0,0.0,0.0,0.8,1.2
P02-PP,Areia Grossa,Bem Selecionado,0.0,0.40,-0.15,0.97,100.0,0.0,0.0,0.2,1.0
P02-ZS,Areia Média,Moderadamente Bem Selecionado,1.2,0.58,-0.16,0.96,99.9,0.1,0.0,0.1,0.8
P02-PF,Silte Fino,Pobremente Selecionado,6.6,1.85,-0.23,0.62,9.7,56.2,34.1,2.8,2.5
P03-B,Areia Grossa,Moderadamente Bem Selecionado,0.7,0.68,-0.05,0.91,100.0,0.0,0.0,0.6,1.9
P03-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.62,-0.00,1.07,100.0,0.0,0.0,0.2,1.2
P03-PP,Areia Grossa,Moderadamente Bem Selecionado,1.0,0.65,-0.07,0.97,100.0,0.0,0.0,0.5,1.0
P03-ZS,Areia Grossa,Bem Selecionado,0.1,0.39,-0.09,0.95,100.0,0.0,0.0,0.1,1.3
P03-PF,Areia Muito Fina,Pobremente Selecionado,3.2,1.98,-0.07,3.34,76.5,15.3,8.2,2.6,4.5
P04-B,Areia Média,Moderadamente Bem Selecionado,1.1,0.53,-0.03,1.00,100.0,0.0,0.0,0.8,0.7
P04-ESP,Areia Grossa,Bem Selecionado,0.4,0.36,0.07,0.91,100.0,0.0,0.0,0.8,1.1
P04-PP,Areia Grossa,Moderadamente Selecionado,0.7,0.71,-0.00,0.94,99.9,0.1,0.0,1.0,0.4
P04-ZS,Areia Grossa,Bem Selecionado,0.1,0.36,-0.11,1.22,100.0,0.0,0.0,0.6,1.6
P04-PF,Silte Muito Fino,Pobremente Selecionado,7.6,1.29,-0.52,0.90,2.9,47.4,49.6,1.3,3.4
P05-B,Areia Grossa,Moderadamente Bem Selecionado,0.3,0.58,-0.01,1.10,100.0,0.0,0.0,0.1,1.0
P05-ESP,Areia Média,Moderadamente Bem Selecionado,1.3,0.66,0.03,0.99,100.0,0.0,0.0,0.5,1.0
P05-PP,Areia Grossa,Bem Selecionado,0.6,0.38,-0.11,0.96,100.0,0.0,0.0,0.3,1.1
P05-ZS,Areia Grossa,Bem Selecionado,0.1,0.41,-0.05,1.04,100.0,0.0,0.0,0.4,2.8
P05-PF,Silte Fino,Muito Pobremente Selecionado,6.4,2.01,-0.15,0.56,18.7,36.7,44.7,2.7,4.6
P06-B,Areia Média,Moderadamente Bem Selecionado,1.2,0.54,-0.06,0.90,100.0,0.0,0.0,0.4,0.9
P06-ESP,Areia Grossa,Bem Selecionado,0.3,0.46,-0.07,0.83,100.0,0.0,0.0,0.5,1.0
P06-PP,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.60,0.01,0.97,100.0,0.0,0.0,0.1,0.7
P06-ZS,Areia Grossa,Muito Bem Selecionado,0.1,0.32,-0.17,0.77,100.0,0.0,0.0,0.0,1.5
P06-PF,Silte Muito Fino,Pobremente Selecionado,7.2,1.55,-0.38,0.89,5.7,50.1,44.2,3.6,2.9
P07-B,Areia Média,Moderadamente Bem Selecionado,1.0,0.62,-0.06,0.91,100.0,0.0,0.0,0.0,0.7
P07-ESP,Areia Grossa,Bem Selecionado,0.6,0.49,-0.10,1.07,100.0,0.0,0.0,0.0,1.2
P07-PP,Areia Grossa,Moderadamente Bem Selecionado,1.0,0.57,0.00,0.95,100.0,0.0,0.0,0.2,0.6
P07-ZS,Areia Grossa,Bem Selecionado,0.2,0.40,-0.04,1.30,100.0,0.0,0.0,0.0,1.6
P07-PF,Silte Muito Fino,Pobremente Selecionado,6.9,1.66,-0.26,0.76,7.4,53.2,39.4,3.0,1.6
P08-B,Areia Grossa,Moderadamente Selecionado,0.9,0.75,-0.09,0.98,100.0,0.0,0.0,0.7,1.3
P08-ESP,Areia Grossa,Bem Selecionado,0.3,0.46,0.03,0.91,100.0,0.0,0.0,0.3,0.8
P08-PP,Areia Grossa,Moderadamente Bem Selecionado,1.0,0.59,0.05,0.93,100.0,0.0,0.0,0.2,0.6
P08-ZS,Areia Grossa,Bem Selecionado,0.1,0.38,-0.13,1.21,100.0,0.0,0.0,0.1,1.1
P08-PF,Argila Grossa,Pobremente Selecionado,7.5,1.39,-0.57,0.80,1.7,47.7,50.6,1.1,8.4
P09-B,Areia Grossa,Moderadamente Selecionado,0.7,0.75,-0.07,0.86,100.0,0.0,0.0,0.1,1.1
P09-ESP,Areia Grossa,Bem Selecionado,0.7,0.48,0.07,1.08,100.0,0.0,0.0,0.3,1.2
P09-PP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.61,-0.01,1.09,100.0,0.0,0.0,0.8,0.9
P09-ZS,Areia Muito Grossa,Bem Selecionado,0.1,0.47,0.32,0.82,100.0,0.0,0.0,0.3,1.4
P09-PF,Silte Muito Fino,Pobremente Selecionado,7.3,1.44,-0.43,0.84,1.6,52.5,45.9,1.7,2.8
P10-B,Areia Grossa,Moderadamente Bem Selecionado,0.5,0.54,0.21,1.07,100.0,0.0,0.0,0.2,1.0
P10-ESP,Areia Grossa,Bem Selecionado,0.7,0.41,0.01,1.13,100.0,0.0,0.0,0.1,0.8
P10-PP,Areia Média,Moderadamente Bem Selecionado,1.2,0.62,-0.18,1.08,100.0,0.0,0.0,0.2,0.7
P10-ZS,Areia Muito Grossa,Muito Bem Selecionado,-0.1,0.34,0.23,0.82,100.0,0.0,0.0,0.0,1.3
P10-PF,Silte Muito Fino,Pobremente Selecionado,7.3,1.33,-0.38,0.67,1.8,52.0,46.2,0.3,1.4
P11-B,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.67,0.07,0.98,100.0,0.0,0.0,0.1,0.8
P11-ESP,Areia Média,Bem Selecionado,1.2,0.46,-0.04,0.98,100.0,0.0,0.0,0.1,1.4
P11-PP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.64,-0.08,1.00,100.0,0.0,0.0,0.3,0.7
P11-ZS,Areia Muito Grossa,Bem Selecionado,-0.1,0.48,0.06,1.90,100.0,0.0,0.0,0.1,1.6
P11-PF,Silte Muito Fino,Pobremente Selecionado,7.2,1.53,-0.37,0.87,4.9,51.4,43.6,0.0,3.8
P12-B,Areia Grossa,Moderadamente Bem Selecionado,0.4,0.52,0.14,1.11,100.0,0.0,0.0,0.1,0.2
P12-ESP,Areia Grossa,Bem Selecionado,1.0,0.46,0.06,1.08,100.0,0.0,0.0,0.1,1.0
P12-PP,Areia Média,Moderadamente Bem Selecionado,0.9,0.65,-0.15,1.05,99.9,0.1,0.0,0.2,0.7
P12-ZS,Areia Muito Grossa,Bem Selecionado,-0.1,0.37,0.15,1.33,100.0,0.0,0.0,0.1,1.3
P12-PF,Silte Muito Fino,Pobremente Selecionado,7.4,1.43,-0.50,0.84,3.8,48.0,48.1,0.2,2.5
P13-B,Areia Grossa,Moderadamente Bem Selecionado,0.7,0.65,-0.01,0.99,100.0,0.0,0.0,0.1,1.2
P13-ESP,Areia Grossa,Bem Selecionado,0.3,0.48,0.03,0.78,100.0,0.0,0.0,0.1,1.4
P13-PP,Areia Média,Moderadamente Bem Selecionado,1.0,0.54,-0.07,1.00,100.0,0.0,0.0,0.1,2.1
P13-ZS,Areia Muito Grossa,Bem Selecionado,-0.3,0.44,-0.04,1.09,100.0,0.0,0.0,0.7,1.4
P13-PF,Silte Muito Fino,Pobremente Selecionado,7.1,1.58,-0.33,0.77,5.9,51.9,42.1,0.1,3.6
P14-B,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.61,-0.00,0.97,100.0,0.0,0.0,0.1,1.4
P14-ESP,Areia Muito Grossa,Bem Selecionado,-0.3,0.45,-0.00,0.92,100.0,0.0,0.0,0.6,1.4
P14-PP,Areia Média,Moderadamente Bem Selecionado,1.1,0.59,-0.15,1.07,100.0,0.0,0.0,0.0,0.9
P14-ZS,Areia Muito Grossa,Muito Bem Selecionado,-0.2,0.33,-0.03,1.60,100.0,0.0,0.0,0.1,1.4
P14-PF,Argila Grossa,Pobremente Selecionado,7.5,1.27,-0.52,0.77,1.1,48.4,50.5,0.1,2.1
P15-B,Areia Grossa,Moderadamente Bem Selecionado,0.3,0.62,0.05,0.87,100.0,0.0,0.0,0.0,1.2
P15-ESP,Areia Grossa,Muito Bem Selecionado,0.5,0.34,-0.04,0.77,100.0,0.0,0.0,0.1,1.0
P15-PP,Areia Média,Moderadamente Bem Selecionado,1.3,0.54,-0.14,0.92,100.0,0.0,0.0,1.0,1.0
