Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
3-D Metals,Definition:Small Scale Wind,,,,Valley City OH,0.1,1,2009,Northern Power Systems,In Service,"41.2481362°, -81.88305616°",-81.88305616,41.2481362,2.084922027433508,0.8975535272457646
AB Tehachapi Wind Farm,Commercial Scale Wind,Coram Energy,AB Energy,Southern California Edison Co,Tehachapi CA,6.97,31,1992,Vestas,In Service,"35.053289°, -118.268631°",-118.268631,35.053289,3.017051534472405,-0.7291196247513739
AFCEE MMR Turbines,Commercial Scale Wind,AFCEE,Air Force Center for Engineering and the Environment,Distributed generation - net metered,Camp Edwards Sandwich MA,3,2,2011,GE Energy,In Service,"41.75754733°, -70.54557323°",-70.54557323,41.75754733,2.6967388388516906,0.11147622344897969
AG Land 1,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6,1,2012,GE Energy,In Service,"42.145531°, -93.432161°",-93.432161,42.145531,1.6311039158478458,0.03679320343237484
AG Land 2,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6,1,2012,GE Energy,In Service,"41.904231°, -93.354864°",-93.354864,41.904231,1.7383325535127707,0.0979514245934652
AG Land 3,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6,1,2012,GE Energy,In Service,"42.146061°, -93.428028°",-93.428028,42.146061,1.6311039158478458,0.03679320343237484
AG Land 4,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6,1,2012,GE Energy,In Service,"42.206397°, -93.325714°",-93.325714,42.206397,1.6035273312772116,-0.30400093829701114
AG Land 5,Community Wind,AG Land Energy LLC,Enervation LLC,Alliant Energy,Hamilton County IA,1.6,1,2012,GE Energy,In Service,"42.335544°, -93.636953°",-93.636953,42.335544,1.1414026503196106,0.1939591454298457
AG Land 6,Community Wind,AG Land Energy LLC,Enervation LLC,Alliant Energy,Hamilton County IA,1.6,1,2012,GE Energy,In Service,"42.335536°, -93.632344°",-93.632344,42.335536,1.1414026503196106,0.1939591454298457
AVTEC,Definition:Small Scale Wind,AVTEC,,AVTEC,Seward AK,0.1,1,2010,Northern Power Systems,In Service,"60.12628341°, -149.4321942°",-149.4321942,60.12628341,0.5162363702669736,2.9859978261719067
Adair Wind Farm I,Commercial Scale Wind,Shafer Systems,MidAmerican Energy,Alliant/IES Utilities,IA,0.23,1,1994,Vestas,In Service,"41.499234°, -94.692628°",-94.692628,41.499234,0.832165819129905,1.2148385860447604
Adair Wind Farm II,Commercial Scale Wind,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,IA,174.8,230,2008,Siemens,In Service,"41.499234°, -94.692628°",-94.692628,41.499234,0.832165819129905,1.2148385860447604
Adams Wind Project,Commercial Scale Wind,,Juhl Wind,,Meeker County MN,19.8,12,2011,Alstom,In Service,"43.680643°, -92.701006°",-92.701006,43.680643,3.1842737528659386,-2.6863718036532735
Aegir II,Offshore Wind,,,,Lake Michigan MI,500,100,,,Proposed,"43.098°, -86.597°",-86.597,43.098,5.4406340844496475,-2.064862173185959
Aero Turbine,Commercial Scale Wind,AeroTurbine Energy Company,,,Riverside County CA,5,39,1989,,In Service,"33.7437°, -115.9925°",-115.9925,33.7437,1.8206867360971537,-1.5433307081126175
Aeroman Repower Wind Farm,Commercial Scale Wind,Coram Energy,Coram Energy,Southern California Edison Co,Tehachapi CA,3,2,2003,GE Energy,In Service,"35.044965°, -118.278036°",-118.278036,35.044965,3.017051534472405,-0.7291196247513739
Affinity Wind Farm,Commercial Scale Wind,Affinity Wind LLC,Affinity Wind LLC,,"Pittsfield, Illinois",150,75,2012,Suzlon Energy Company,Under Construction,"39.606658053878°, -90.986366271973°",-90.986366271973,39.606658053878,2.9322005757431917,-2.7680525839553547
Agassiz Beach Wind Farm,Commercial Scale Wind,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Clay County MN,1.98,3,2001,Vestas,In Service,"46.8844°, -96.5042°",-96.5042,46.8844,2.5814724299399203,2.9229237052114545
Agriwind Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,Wabash Valley Power Association,IL,8.4,4,2008,Suzlon Energy Company,In Service,"41.252069°, -89.579542°",-89.579542,41.252069,1.5138031487305033,0.8134282324885579
Ainsworth Wind Energy Facility,Commercial Scale Wind,Nebraska Public Power District and consortium of public utilities,Nebraska Public Power District and consortium of public utilities,Nebraska Public Power District and consortium of public utilities,Ainsworth NE,59.4,36,2005,Vestas,In Service,"42.460023°, -99.876037°",-99.876037,42.460023,2.121980129879226,-1.3715523391557114
Airforce Wind Farm,Community Wind,Airforce,Airforce,,WY,2,1,2009,Gamesa,In Service,"43.0759678°, -107.2902839°",-107.2902839,43.0759678,8.10489403028242,-2.9967292975749458
Akron-Westfield School District Wind Farm,Community Wind,Akron-Westfield Comm. Schools,,Alliant/IES Utilities,Akron-Westfield IA,0.6,1,1999,Vestas,In Service,"42.7859°, -96.5836°",-96.5836,42.7859,2.855240865624817,-2.261947177944557
Alaska Village Cooperative Wind Farm,Commercial Scale Wind,Alaska Village Elec Coop,Kotzebue Electric Assn Inc,Alaska Village Elec Coop,Toksook Bay AK,0.3,3,2005,Northern Power Systems,In Service,"60.5315°, -165.109°",-165.109,60.5315,4.448156872145106,-1.3209103882508497
Alite Wind Farm,Commercial Scale Wind,Terra-Gen Power LLC,Allco/Oak Creek Energy,California Portland Cement,Mojave CA,24,8,2008,Vestas,In Service,"35.04046°, -118.29939°",-118.29939,35.04046,3.017051534472405,-0.7291196247513739
Alleghany High School Wind Project,Community Wind,,,,NC,0,1,,SkyStream,,"36.514774°, -81.124809°",-81.124809,36.514774,0.4438468178047679,0.3930580259895696
Allegheny Ridge Wind Farm,Commercial Scale Wind,GE Energy,Gamesa,First Energy Corp.,Cambria and Blair Counties PA,80,40,2007,Gamesa,In Service,"40.397243°, -78.546156°",-78.546156,40.397243,1.5305228164882598,0.9011574065631442
Alta I,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150,100,2010,GE Energy,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Alta II (Vestas),Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150,50,2010,Vestas,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Alta III,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150,50,2011,Vestas,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Alta IV,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,102,34,2011,Vestas,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Alta Mesa I Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,18.72,117,,Danwin,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Alta Mesa II Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,9.45,42,,Vestas,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Alta V,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,168,56,2011,Vestas,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Altech Energy Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,5.76,144,,Enertech,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Altech III (a),Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,3.31,51,,NEG Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Altech III (b),Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,21.71,201,,NEG Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
