Position,Name,Capacity (MW),Operational Units,Region,Country,Coordinates,Latitude,Longitude,Status,Construction ,Commission,Est. Project Cost,Developer,Operator,Owner,Turbine Manufacturer ,Notes,Contact,Position2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dogger Bank Creyke Beck A & B,2400,400,"Yorkshire, North Sea, England",UK,54°43′28.63″N 2°46′06.80″E,54.7246194,2.7685556,Planned/Under Construction,2015,2020,,Forewind Limited ,Forewind Limited ,"SSE, Statkraft, Statoil, RWE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dogger Bank Teesside A & B,2400,400,"Yorkshire, North Sea, England",UK,54°45′N 1°55′E,54.75,1.9166667,Planned/Under Construction,2015,2020,,Forewind Limited ,Forewind Limited ,"SSE, Statkraft, Statoil, RWE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hornsea Project 1,1200,240,"Yorkshire, North Sea, England",UK,"53°53'6""N, 1°47'28""W",53.883,1.921,Planned/Under Construction,2016,2020,,DONG Energy,SMart Wind ,DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Moray Firth Eastern Development Area (Telford, Stevenson, Maccoll)",1116,186,Scotland,UK,,58.188,-2.720,Planned/Under Construction,2016,N/A,£1.8bn,Stevenson Offshore Windfarm Ltd,,EDP Renováveis; Repsol,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Seagreen Alpha + Bravo,1050,150,Firth of Forth Zone,UK,,56.611,-1.821,Planned/Under Construction,,N/A,,Seagreen Alpha Wind Energy Ltd,,Fluor Ltd; SSE Renewables,,Total zone planned capacity 3.6GW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Codling Bank,1000,220,Codling Bank,Ireland,53°6′14″N 5°47′2″W,53.1038889,-5.7838889,Planned/Under Construction,,N/A,€3bn,Codling Wind Park Ltd,,Hazel Shore Ltd; Fred Olsen Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Triton Knoll,900,,Lincolnshire,UK,53.4°N 0.9°E,53.479,0.837,Planned/Under Construction,N/A,N/A,£3.5bn,RWE Innogy; Statkraft,,RWE Innogy,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Stora Middelgrund,864,108,Båstad,Sweden,"56°36′0″N, 12° 7′ 12″E",56.596,12.117,Planned/Under Construction,,N/A,,Universal Wind AB,,Universal Wind AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Inch Cape,784,110,,UK,,56.494,-2.195,Planned/Under Construction,,N/A,£3bn,Inch Cape Offshore WFL,,SDIC Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,East Anglia ONE,714,102,"East Anglia, North Sea, England",UK,52°54′28″N 2°37′43″E,52.9077778,2.6286111,Planned/Under Construction,2017,2020,,ScottishPower Renewables; Vattenfall,,ScottishPower Renewables; Vattenfall,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kaikas,664,83,,Germany,,54.604,6.173,Planned/Under Construction,2017,N/A,,WPD Offshore,,WPD Offshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
